Year,Recon,Observed
1950,1512782,1944968
1951,1237666,1916642
1952,1605224,1708068
1953,947487,1219367
1954,908607,1296132
1955,1069861,946629
1956,1472323,1764746
1957,1747156,1619535
1958,1324735,1237520
1959,864108,1044331
1960,1305059,815406
1961,1322312,705122
1962,1855538,1596559
1963,1280140,1082730
1964,1181571,1364116
1965,1570922,1975213
1966,1256011,1161886
1967,1749846,1624892
1968,1231598,1346451
1969,1682839,1536074
1970,1199532,1053983
1971,1448679,1940000
1972,1501773,2194124
1973,1614654,1382062
1974,1376477,1673748
1975,1634985,1526623
1976,1553630,1671023
1977,801420,575404
1978,1514850,1713850
1979,1370753,1143022
1980,1375663,1541808
1981,875509,932639
1982,1606459,1898578
1983,1796818,2246186
1984,1804944,1876531
1985,1482716,1249622
1986,2072653,2525271
1987,1406029,1439753
1988,1280930,937665
1989,1024401,1030040
1990,1020299,1086226
1991,1736376,1282662
1992,1254885,852285
1993,1690545,1368194
1994,1096338,957711
1995,1587285,1606011
1996,1660669,-9999
1997,1394887,-9999
