Year,Recon,Observed
1929,2305339,2832745
1930,2242821,2203253
1931,1931657,1336884
1932,2164289,2105777
1933,2046221,2027109
1934,906371,1118031
1935,1993236,1699849
1936,1893058,2400467
1937,2195862,1560763
1938,2263511,2575098
1939,1697066,1858951
1940,1931505,1442014
1941,2306270,1820959
1942,2562784,2059623
1943,2153865,1988928
1944,1604306,1639653
1945,2043582,1878008
1946,1563787,1700340
1947,2746499,2408055
1948,1861458,2043825
1949,2640981,2190099
1950,1729171,1658037
1951,2240196,2249385
1952,2547740,2872310
1953,1767216,1894012
1954,1001782,1056036
1955,1769441,1413347
1956,2326706,1883471
1957,2769792,3020786
1958,2052342,2062997
1959,1659966,1715425
1960,2215793,1995731
1961,1211852,1501321
1962,2966173,2835949
1963,1630288,1310967
1964,1706298,1473776
1965,2704274,2490669
1966,1750185,1328879
1967,1972120,1737656
1968,1896951,1854250
1969,2270083,1943613
1970,2439687,2408280
1971,2161268,2524539
1972,1949679,1929586
1973,2638053,2380448
1974,2409080,2225893
1975,2368475,2230268
1976,1688285,1681932
1977,856655,1073462
1978,2551215,2419561
1979,2417584,2338396
1980,2224298,2315872
1981,1709237,1276757
1982,2357896,2201581
1983,3074389,2952351
1984,2920863,3437399
1985,2610931,2676942
1986,2748169,2803658
1987,1842335,1655805
1988,1900905,1862526
1989,1608058,1463142
1990,1661594,1556715
1991,2373817,1889468
1992,1654237,1600112
1993,2595538,2496355
1994,1381398,1556799
1995,2554718,2504610
1996,2404104,-9999
1997,2570741,-9999
