Year,Recon,Observed
1924,6243548,4550175
1925,3666079,4731610
1926,6231965,5082944
1927,6331275,5975651
1928,6647319,6586328
1929,6888392,7272740
1930,5529226,5328996
1931,4988789,3118400
1932,6205165,5610457
1933,4499466,4361163
1934,2145288,2025413
1935,5059511,3690981
1936,4609211,5061914
1937,6304251,4941500
1938,5631565,5621431
1939,4096188,4169921
1940,4163341,3133917
1941,5949017,4974446
1942,6579969,5807000
1943,5634284,5050904
1944,4612866,5280978
1945,4098489,4898701
1946,4045315,4296089
1947,7675168,6311850
1948,4711143,4961523
1949,7264051,5736709
1950,4851860,6350764
1951,5214403,5552921
1952,6744653,7807542
1953,3787934,4183340
1954,3271361,3398869
1955,4632980,3634839
1956,4565198,5212895
1957,6952348,6361594
1958,4497629,5389972
1959,3636817,3508115
1960,5292725,3825841
1961,3374159,2810217
1962,6929204,6857780
1963,4849401,3477187
1964,4536778,4460768
1965,6355473,7168030
1966,4184897,4116414
1967,5571658,5285303
1968,5156001,5266836
1969,5753671,5599739
1970,5380636,5177609
1971,5403205,6521558
1972,4459441,5631330
1973,6466268,6204248
1974,5118644,5938395
1975,6213465,6116182
1976,5175518,4611881
1977,1138331,1893546
1978,6315593,5676531
1979,5824967,5054757
1980,5328657,6103606
1981,3414177,3332152
1982,5489132,6169476
1983,8429819,8953548
1984,7816582,9067381
1985,6572714,6911766
1986,8134687,8615682
1987,5546687,5089177
1988,4687528,4255426
1989,3566835,3395085
1990,4005563,3459711
1991,4989617,4170475
1992,3880024,3254397
1993,7097703,5502581
1994,3774912,3448766
1995,6391177,6618348
1996,6666968,-9999
1997,6039538,-9999
