"year","flow","signal","avgLLE","sawp_avg","flow_mean","flow_var"
1624,4355864,-1.4556581561344,-0.195457973190279,1.87786281092635,6.86360372972973,2.73136851630237
1625,4037747,-1.46261472102503,-0.199811339537644,1.86867954158313,6.82210064864865,2.7548039642559
1626,4447155,-0.724343699233114,-0.197791836497628,1.86179907792724,6.92303564864865,2.5264329304709
1627,7691239,0.214782967255242,-0.200639473255873,1.85720461164215,6.78995354054054,2.71235191079648
1628,6690525,0.699723331406668,-0.19820782354318,1.85477395383984,6.71059054054054,2.9707699989717
1629,6323352,0.428032251434861,-0.193947308459153,1.85440775284378,6.66454921621622,2.81123113687362
1630,6914611,-0.25255175913484,-0.191102965377033,1.85625431560241,6.64092248648649,2.78276192643492
1631,4290837,-0.652888819528293,-0.180618110807194,1.86084123393266,6.70931054054054,2.96333059091009
1632,4755967,-0.506225068121447,-0.170116808711098,1.86865467107316,6.67439321621622,2.83712965826701
1633,9538293,-0.237117306411242,-0.159875714283934,1.87943642022498,6.66259791891892,2.8044788730183
1634,5419929,-0.324647849892452,-0.160120193002571,1.89192318804708,6.60885702702703,2.73530330737136
1635,5399328,-0.678018915131963,-0.161385171521288,1.90419303187636,6.50126732432432,2.85326927779461
1636,6768062,-0.8561913999478,-0.160194276737882,1.91451204786256,6.35369351351351,3.00132007995615
1637,5843501,-0.642623018394458,-0.159575280923211,1.92173552199654,6.41323864864865,3.31086251747196
1638,6089118,-0.190177887197666,-0.158020260423012,1.92525633794056,6.34722335135135,3.34967556970251
1639,7327158,0.214947531322482,-0.159520772087341,1.92490805585572,6.33116105405405,3.33960281650944
1640,7462294,0.395727859490935,-0.157220787848654,1.920862339262,6.16471797297297,2.77474619906136
1641,6312889,0.367839503520553,-0.148752409586482,1.91350176310514,6.20475435135135,2.7850983253459
